[2026-05-01 19:17:07] [INFO] [logger.py:61] QUERY | model=minilm | latency=6.869s | chunks=5 | avg_sim=0.4022 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what is the skill he is having
[2026-05-01 20:54:27] [INFO] [logger.py:61] QUERY | model=bge | latency=0.920s | chunks=5 | avg_sim=0.4754 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=give me the all the topics in that pdf all the topics
[2026-05-01 20:55:24] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.203s | chunks=5 | avg_sim=0.4476 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=in the pdf is ther any thing like types of data say me thw what are the types of data
[2026-05-01 20:55:25] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.524s | chunks=5 | avg_sim=0.7240 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=in the pdf is ther any thing like types of data say me thw what are the types of data
[2026-05-01 20:55:25] [INFO] [logger.py:61] QUERY | model=bge | latency=0.539s | chunks=5 | avg_sim=0.5278 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=in the pdf is ther any thing like types of data say me thw what are the types of data
[2026-05-01 20:56:07] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.219s | chunks=5 | avg_sim=0.4425 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=types of data in meachien leairng formt he pdf explain me the exact context
[2026-05-01 20:56:08] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.470s | chunks=5 | avg_sim=0.7163 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=types of data in meachien leairng formt he pdf explain me the exact context
[2026-05-01 20:56:08] [INFO] [logger.py:61] QUERY | model=bge | latency=0.566s | chunks=5 | avg_sim=0.5482 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=types of data in meachien leairng formt he pdf explain me the exact context
[2026-05-01 20:56:29] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.204s | chunks=5 | avg_sim=0.4435 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=types of data in meachine learning
[2026-05-01 20:56:30] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.418s | chunks=5 | avg_sim=0.7177 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=types of data in meachine learning
[2026-05-01 20:56:31] [INFO] [logger.py:61] QUERY | model=bge | latency=0.696s | chunks=5 | avg_sim=0.5784 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=types of data in meachine learning
[2026-05-01 20:57:01] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.502s | chunks=5 | avg_sim=0.3713 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=explain me brefly about meachine leanring
[2026-05-01 20:57:02] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.815s | chunks=5 | avg_sim=0.6807 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=explain me brefly about meachine leanring
[2026-05-01 20:57:03] [INFO] [logger.py:61] QUERY | model=bge | latency=0.609s | chunks=5 | avg_sim=0.4603 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=explain me brefly about meachine leanring
[2026-05-01 21:04:38] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.436s | chunks=5 | avg_sim=0.4427 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what do you mean by tyes of data in meachine learning
[2026-05-01 21:04:39] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.682s | chunks=5 | avg_sim=0.7118 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what do you mean by tyes of data in meachine learning
[2026-05-01 21:04:39] [INFO] [logger.py:61] QUERY | model=bge | latency=0.534s | chunks=5 | avg_sim=0.5460 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what do you mean by tyes of data in meachine learning
[2026-05-01 21:10:54] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.436s | chunks=5 | avg_sim=0.4563 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what do you mean by tyes of data in meachine learning
[2026-05-01 21:10:55] [INFO] [logger.py:61] QUERY | model=e5 | latency=1.028s | chunks=5 | avg_sim=0.7210 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what do you mean by tyes of data in meachine learning
[2026-05-01 21:10:56] [INFO] [logger.py:61] QUERY | model=bge | latency=0.918s | chunks=5 | avg_sim=0.5568 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what do you mean by tyes of data in meachine learning
[2026-05-01 21:13:07] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.662s | chunks=5 | avg_sim=0.4577 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what do you mean by tyes of data in meachine learning explain with example
[2026-05-01 21:13:08] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.967s | chunks=5 | avg_sim=0.7390 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what do you mean by tyes of data in meachine learning explain with example
[2026-05-01 21:13:09] [INFO] [logger.py:61] QUERY | model=bge | latency=0.746s | chunks=5 | avg_sim=0.5760 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what do you mean by tyes of data in meachine learning explain with example
[2026-05-10 23:39:23] [INFO] [logger.py:61] QUERY | model=minilm | latency=13.860s | chunks=5 | avg_sim=0.3449 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what llm
[2026-05-10 23:39:33] [INFO] [logger.py:61] QUERY | model=e5 | latency=9.545s | chunks=5 | avg_sim=0.6536 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what llm
[2026-05-10 23:39:49] [INFO] [logger.py:61] QUERY | model=bge | latency=15.880s | chunks=5 | avg_sim=0.4674 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=what llm
[2026-05-10 23:47:26] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.391s | chunks=5 | avg_sim=0.4798 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=“What is attention mechanism?”
[2026-05-10 23:47:27] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.661s | chunks=5 | avg_sim=0.7534 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=“What is attention mechanism?”
[2026-05-10 23:47:28] [INFO] [logger.py:61] QUERY | model=bge | latency=0.558s | chunks=5 | avg_sim=0.6084 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=“What is attention mechanism?”
[2026-05-11 10:32:22] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.578s | chunks=5 | avg_sim=0.3681 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=siri is erii puku
[2026-05-11 10:32:22] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.589s | chunks=5 | avg_sim=0.6863 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=siri is erii puku
[2026-05-11 10:32:23] [INFO] [logger.py:61] QUERY | model=bge | latency=0.616s | chunks=5 | avg_sim=0.4680 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=siri is erii puku
[2026-05-11 10:35:37] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.376s | chunks=5 | avg_sim=0.4863 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=What is attention mechanism?
[2026-05-11 10:35:38] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.572s | chunks=5 | avg_sim=0.7531 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=What is attention mechanism?
[2026-05-11 10:35:39] [INFO] [logger.py:61] QUERY | model=bge | latency=0.563s | chunks=5 | avg_sim=0.6081 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=What is attention mechanism?
[2026-05-11 11:26:20] [INFO] [logger.py:61] QUERY | model=minilm | latency=6.493s | chunks=5 | avg_sim=0.4237 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=What are transformers?
[2026-05-11 11:26:25] [INFO] [logger.py:61] QUERY | model=e5 | latency=4.939s | chunks=5 | avg_sim=0.7058 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=What are transformers?
[2026-05-11 11:26:30] [INFO] [logger.py:61] QUERY | model=bge | latency=5.113s | chunks=5 | avg_sim=0.5794 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=What are transformers?
[2026-05-11 11:33:32] [INFO] [logger.py:61] QUERY | model=minilm | latency=0.464s | chunks=5 | avg_sim=0.4860 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=What is attention mechanism
[2026-05-11 11:33:32] [INFO] [logger.py:61] QUERY | model=e5 | latency=0.663s | chunks=5 | avg_sim=0.7568 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=What is attention mechanism
[2026-05-11 11:33:33] [INFO] [logger.py:61] QUERY | model=bge | latency=0.919s | chunks=5 | avg_sim=0.6094 | rouge1=0.0000 | rougeL=0.0000 | bert=0.0000 | question=What is attention mechanism
